growth_weight,expected_surplus_m,prob_below_ld,prob_below_95_ld,worst_5pct_funding,median_time_to_buyout,p_buyout_10
0.05,24.61042199852615,0.8752,0.3984,0.9066469069666349,5.0,0.5344
0.1,33.307799635033085,0.8842,0.4156,0.8980817189008276,5.0,0.587
0.15,44.29144838205148,0.9192,0.4828,0.8826268380168385,5.0,0.6382
0.2,56.716118119652315,0.9484,0.5748,0.862428775362058,5.0,0.6776
0.25,70.00319065700158,0.9734,0.6728,0.8409748376506286,4.0,0.7124
0.3,83.89084750277057,0.9846,0.7548,0.8170577308123234,4.0,0.7362
0.4,112.61522965125728,0.9952,0.876,0.7667632521203868,3.0,0.7778
